"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"Ubuntu-R.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-R.ttf","Ubuntu","Ubuntu","Ubuntu",FALSE,FALSE,FALSE,NA
NA,"Ubuntu-B.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-B.ttf","Ubuntu Bold","Ubuntu","Ubuntu-Bold",TRUE,FALSE,FALSE,NA
NA,"Ubuntu-BI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-BI.ttf","Ubuntu Bold Italic","Ubuntu","Ubuntu-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"Ubuntu-RI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-RI.ttf","Ubuntu Italic","Ubuntu","Ubuntu-Italic",FALSE,TRUE,FALSE,NA
NA,"Ubuntu-L.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-L.ttf","Ubuntu Light","Ubuntu Light","Ubuntu-Light",FALSE,FALSE,FALSE,NA
NA,"Ubuntu-LI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-LI.ttf","Ubuntu Light Italic","Ubuntu Light","Ubuntu-LightItalic",FALSE,TRUE,FALSE,NA
NA,"Ubuntu-M.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-M.ttf","Ubuntu Medium","Ubuntu Light","Ubuntu-Medium",TRUE,FALSE,FALSE,NA
NA,"Ubuntu-MI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-MI.ttf","Ubuntu Medium Italic","Ubuntu Light","Ubuntu-MediumItalic",TRUE,TRUE,FALSE,NA
NA,"Ubuntu-C.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-C.ttf","Ubuntu Condensed","Ubuntu Condensed","UbuntuCondensed-Regular",FALSE,FALSE,FALSE,NA
NA,"UbuntuMono-B.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-B.ttf","Ubuntu Mono Bold","Ubuntu Mono","UbuntuMono-Bold",TRUE,FALSE,FALSE,NA
NA,"UbuntuMono-BI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-BI.ttf","Ubuntu Mono Bold Italic","Ubuntu Mono","UbuntuMono-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"UbuntuMono-RI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-RI.ttf","Ubuntu Mono Italic","Ubuntu Mono","UbuntuMono-Italic",FALSE,TRUE,FALSE,NA
NA,"UbuntuMono-R.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-R.ttf","Ubuntu Mono","Ubuntu Mono","UbuntuMono-Regular",FALSE,FALSE,FALSE,NA
